description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,148819.0,160136.0,184406.0,155755.0,134737.0,AOZORA BANK,1
うち連結信託報酬,Consolidated Trust Fees,Million Yen,426.0,372.0,462.0,386.0,444.0,AOZORA BANK,2
連結経常利益,Consolidated Ordinary Profit,Million Yen,57984.0,47796.0,43330.0,38982.0,46294.0,AOZORA BANK,3
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,43064.0,36130.0,28142.0,28972.0,35004.0,AOZORA BANK,4
連結包括利益,Consolidated Comprehensive Income,Million Yen,38609.0,30923.0,-6437.0,79781.0,13611.0,AOZORA BANK,5
連結純資産額,Consolidated Net Assets,Million Yen,437234.0,448710.0,424758.0,490006.0,487265.0,AOZORA BANK,6
連結総資産額,Consolidated Total Assets,Million Yen,4912792.0,5255048.0,5299815.0,5916866.0,6728653.0,AOZORA BANK,7
１株当たり純資産額,Net Assets per Share,Yen,3735.0,3844.08,3659.84,4233.53,4222.79,AOZORA BANK,8
１株当たり当期純利益,Net Income per Share,Yen,369.16,309.67,241.18,248.27,299.81,AOZORA BANK,9
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,368.89,309.42,240.92,247.9,299.38,AOZORA BANK,10
自己資本比率,Equity Ratio,%,8.9,8.5,8.1,8.4,7.3,AOZORA BANK,11
連結自己資本利益率,Return on Equity (ROE),%,10.08,8.17,6.42,6.29,7.09,AOZORA BANK,12
連結株価収益率,Price-Earnings Ratio (PER),Times,11.47,8.83,8.54,10.2,8.63,AOZORA BANK,13
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,227599.0,147285.0,-286284.0,728732.0,253900.0,AOZORA BANK,14
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,-211578.0,-55862.0,121823.0,-223529.0,-23830.0,AOZORA BANK,15
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-21990.0,-19710.0,-17871.0,-14882.0,-16059.0,AOZORA BANK,16
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,468031.0,539743.0,357411.0,847732.0,1061743.0,AOZORA BANK,17
信託財産額,Trust Assets,Million Yen,760074.0,797320.0,835481.0,730209.0,879535.0,AOZORA BANK,18
