description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,327600.0,306494.0,306236.0,291729.0,286979.0,CONCORDIA FINANCIAL GROUP,56
うち連結信託報酬,Consolidated Trust Fees,Million Yen,0.0,0.0,99.0,245.0,252.0,CONCORDIA FINANCIAL GROUP,57
連結経常利益,Consolidated Ordinary Profit,Million Yen,98022.0,80373.0,71354.0,41405.0,82257.0,CONCORDIA FINANCIAL GROUP,58
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,66413.0,54285.0,46536.0,25326.0,53881.0,CONCORDIA FINANCIAL GROUP,59
連結包括利益,Consolidated Comprehensive Income,Million Yen,72343.0,35802.0,-24211.0,74754.0,30160.0,CONCORDIA FINANCIAL GROUP,60
連結純資産額,Consolidated Net Assets,Million Yen,1154002.0,1160147.0,1103972.0,1159099.0,1164626.0,CONCORDIA FINANCIAL GROUP,61
連結総資産額,Consolidated Total Assets,Million Yen,18660581.0,18947097.0,18927937.0,21577398.0,24060792.0,CONCORDIA FINANCIAL GROUP,62
１株当たり純資産額,Net Assets per Share,Yen,916.55,937.09,910.68,955.81,965.47,CONCORDIA FINANCIAL GROUP,63
１株当たり当期純利益,Net Income per Share,Yen,52.36,43.46,38.38,20.99,44.67,CONCORDIA FINANCIAL GROUP,64
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,52.32,43.44,38.37,20.99,44.67,CONCORDIA FINANCIAL GROUP,65
自己資本比率,Equity Ratio,%,6.15,6.09,5.8,5.34,4.81,CONCORDIA FINANCIAL GROUP,66
連結自己資本利益率,Return on Equity (ROE),%,5.88,4.71,4.13,2.24,4.66,CONCORDIA FINANCIAL GROUP,67
連結株価収益率,Price-Earnings Ratio (PER),Times,11.21,9.82,8.2,21.38,10.25,CONCORDIA FINANCIAL GROUP,68
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,-606618.0,247695.0,-294594.0,2039109.0,1247289.0,CONCORDIA FINANCIAL GROUP,69
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,281992.0,-148380.0,-73943.0,-480586.0,218750.0,CONCORDIA FINANCIAL GROUP,70
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-12067.0,-9714.0,-12137.0,505.0,-43912.0,CONCORDIA FINANCIAL GROUP,71
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,2806276.0,2895885.0,2515201.0,4074238.0,5496374.0,CONCORDIA FINANCIAL GROUP,72
信託財産額,Trust Assets,Million Yen,0.0,0.0,4825.0,15931.0,26152.0,CONCORDIA FINANCIAL GROUP,73
