description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,237572.0,246112.0,283186.0,274754.0,280427.0,FUKUOKA FINANCIAL,90
連結経常利益又は連結経常損失(-),Consolidated Ordinary Income or Consolidated Ordinary Loss,Million Yen,71636.0,74093.0,-5250.0,60427.0,76086.0,FUKUOKA FINANCIAL,91
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,49369.0,51649.0,110607.0,44647.0,54118.0,FUKUOKA FINANCIAL,92
連結包括利益,Consolidated Comprehensive Income,Million Yen,78909.0,12053.0,46387.0,121887.0,112.0,FUKUOKA FINANCIAL,93
連結純資産額,Consolidated Net Assets,Million Yen,778973.0,777308.0,853062.0,958833.0,941066.0,FUKUOKA FINANCIAL,94
連結総資産額,Consolidated Total Assets,Million Yen,20163679.0,20839786.0,25068405.0,27510013.0,29171912.0,FUKUOKA FINANCIAL,95
１株当たり純資産額,Net Assets per Share,Yen,4535.1,4525.66,4487.3,5043.7,4949.87,FUKUOKA FINANCIAL,96
１株当たり当期純利益,Net Income per Share,Yen,287.42,300.71,581.83,234.86,284.69,FUKUOKA FINANCIAL,97
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,0.0,0.0,0.0,0.0,0.0,FUKUOKA FINANCIAL,98
自己資本比率,Equity Ratio,%,3.86,3.72,3.4,3.48,3.22,FUKUOKA FINANCIAL,99
連結自己資本利益率,Return on Equity (ROE),%,6.62,6.63,13.56,4.92,5.69,FUKUOKA FINANCIAL,100
連結株価収益率,Price-Earnings Ratio (PER),Times,9.96,8.16,2.45,8.93,8.33,FUKUOKA FINANCIAL,101
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,1159776.0,-5725.0,47871.0,1541822.0,2163545.0,FUKUOKA FINANCIAL,102
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,145640.0,360435.0,-147507.0,4740.0,-372639.0,FUKUOKA FINANCIAL,103
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-11993.0,-33717.0,-15989.0,-16108.0,-26956.0,FUKUOKA FINANCIAL,104
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,4168303.0,4489326.0,4545697.0,6076226.0,7840263.0,FUKUOKA FINANCIAL,105
