description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,6068061.0,6697402.0,7299078.0,6025336.0,6075887.0,MITSUBISHI UFJ FINANCIAL,119
連結経常利益,Consolidated Ordinary Profit,Million Yen,1462418.0,1348043.0,1235770.0,1053610.0,1537649.0,MITSUBISHI UFJ FINANCIAL,120
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,989664.0,872689.0,528151.0,777018.0,1130840.0,MITSUBISHI UFJ FINANCIAL,121
連結包括利益,Consolidated Comprehensive Income,Million Yen,1330891.0,686992.0,271456.0,1324655.0,797310.0,MITSUBISHI UFJ FINANCIAL,122
連結純資産額,Consolidated Net Assets,Million Yen,17295037.0,17261677.0,16855738.0,17716257.0,17988245.0,MITSUBISHI UFJ FINANCIAL,123
連結総資産額,Consolidated Total Assets,Million Yen,306937415.0,311138903.0,336571379.0,359473515.0,373731910.0,MITSUBISHI UFJ FINANCIAL,124
1株当たり純資産額,Net Assets per Share,Yen,1217.41,1252.02,1245.33,1308.12,1349.51,MITSUBISHI UFJ FINANCIAL,125
1株当たり当期純利益,Net Income per Share,Yen,74.55,66.91,40.95,60.49,88.44,MITSUBISHI UFJ FINANCIAL,126
潜在株式調整後1株当たり当期純利益,Net Income per Share (Diluted),Yen,74.28,66.61,40.7,60.25,88.05,MITSUBISHI UFJ FINANCIAL,127
自己資本比率,Equity Ratio,%,5.22,5.2,4.75,4.67,4.55,MITSUBISHI UFJ FINANCIAL,128
連結自己資本利益率,Return on Equity (ROE),%,6.32,5.41,3.28,4.73,6.68,MITSUBISHI UFJ FINANCIAL,129
連結株価収益率,Price-Earnings Ratio (PER),Times,9.34,8.21,9.84,9.8,8.59,MITSUBISHI UFJ FINANCIAL,130
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,12310778.0,5609305.0,8060840.0,34904946.0,9839899.0,MITSUBISHI UFJ FINANCIAL,131
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,-565875.0,-5627546.0,-3368444.0,-10140343.0,-2202726.0,MITSUBISHI UFJ FINANCIAL,132
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-290538.0,-484359.0,-251664.0,-436071.0,-1080428.0,MITSUBISHI UFJ FINANCIAL,133
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,74713689.0,74206895.0,78335634.0,102980711.0,110763205.0,MITSUBISHI UFJ FINANCIAL,134
