description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,742927.0,860706.0,880544.0,823600.0,844700.0,RESONA HOLDINGS,322
うち連結信託報酬,Consolidated Trust Fees,Million Yen,18635.0,19242.0,19060.0,19223.0,20834.0,RESONA HOLDINGS,323
連結経常利益,Consolidated Ordinary Profit,Million Yen,217777.0,203018.0,214290.0,190960.0,158775.0,RESONA HOLDINGS,324
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,236251.0,175162.0,152426.0,124481.0,109974.0,RESONA HOLDINGS,325
連結包括利益,Consolidated Comprehensive Income,Million Yen,311063.0,112287.0,23799.0,272200.0,51787.0,RESONA HOLDINGS,326
連結純資産,Consolidated Net Assets,Million Yen,2102936.0,2356178.0,2316543.0,2519645.0,2459023.0,RESONA HOLDINGS,327
連結総資産,Consolidated Assets,Million Yen,50243789.0,59110075.0,60512454.0,73697682.0,78155071.0,RESONA HOLDINGS,328
１株当たり純資産,Net Assets per Share,Yen,900.72,911.17,904.6,1008.82,1025.01,RESONA HOLDINGS,329
１株当たり当期純利益,Net Income per Share,Yen,100.51,75.63,66.27,54.19,45.42,RESONA HOLDINGS,330
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,0.0,75.63,66.27,54.19,45.41,RESONA HOLDINGS,331
自己資本比率,Equity Ratio,%,4.15,3.57,3.43,3.14,3.12,RESONA HOLDINGS,332
連結自己資本利益率,Return on Equity (ROE),%,11.77,8.34,7.27,5.66,4.62,RESONA HOLDINGS,333
連結株価収益率,Price-Earnings Ratio (PER),Times,5.59,6.34,4.9,8.57,11.53,RESONA HOLDINGS,334
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,923028.0,324420.0,974556.0,11394771.0,3890942.0,RESONA HOLDINGS,335
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,110518.0,243591.0,-278818.0,-1390998.0,-925984.0,RESONA HOLDINGS,336
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-265843.0,-53636.0,-167734.0,-114365.0,-170307.0,RESONA HOLDINGS,337
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,13256798.0,14707458.0,15235443.0,25124886.0,27919539.0,RESONA HOLDINGS,338
信託財産額,Trust Assets,Million Yen,27252547.0,27852905.0,28450605.0,31930324.0,31841177.0,RESONA HOLDINGS,339
