description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,224091.0,235736.0,229295.0,230787.0,241600.0,SHIZUOKA FINANCIAL GROUP,214
うち連結信託報酬,Consolidated Trust Fees,Million Yen,2.0,3.0,2.0,2.0,2.0,SHIZUOKA FINANCIAL GROUP,215
連結経常利益,Consolidated Ordinary Profit,Million Yen,65839.0,63379.0,54582.0,63349.0,54219.0,SHIZUOKA FINANCIAL GROUP,216
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,50130.0,46874.0,38703.0,43638.0,41635.0,SHIZUOKA FINANCIAL GROUP,217
連結包括利益,Consolidated Comprehensive Income,Million Yen,79828.0,46995.0,-2697.0,125136.0,7300.0,SHIZUOKA FINANCIAL GROUP,218
連結純資産額,Consolidated Net Assets,Million Yen,992808.0,1016815.0,992794.0,1105378.0,1088247.0,SHIZUOKA FINANCIAL GROUP,219
連結総資産額,Consolidated Total Assets,Million Yen,11532724.0,11854771.0,12542772.0,14075848.0,14918227.0,SHIZUOKA FINANCIAL GROUP,220
１株当たり純資産額,Net Assets per Share,Yen,1668.95,1738.53,1727.1,1922.55,1925.98,SHIZUOKA FINANCIAL GROUP,221
１株当たり当期純利益,Net Income per Share,Yen,83.71,79.31,67.19,76.02,73.27,SHIZUOKA FINANCIAL GROUP,222
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,78.32,76.93,65.4,73.31,70.54,SHIZUOKA FINANCIAL GROUP,223
自己資本比率,Equity Ratio,%,8.59,8.56,7.9,7.84,7.28,SHIZUOKA FINANCIAL GROUP,224
連結自己資本利益率,Return on Equity (ROE),%,5.21,4.67,3.85,4.16,3.8,SHIZUOKA FINANCIAL GROUP,225
連結株価収益率,Price-Earnings Ratio (PER),Times,12.01,10.62,9.77,11.44,11.77,SHIZUOKA FINANCIAL GROUP,226
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,135934.0,73314.0,579922.0,1110303.0,731100.0,SHIZUOKA FINANCIAL GROUP,227
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,-170100.0,199753.0,-307397.0,-340197.0,-494773.0,SHIZUOKA FINANCIAL GROUP,228
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,12233.0,-76244.0,-21345.0,-12608.0,-23825.0,SHIZUOKA FINANCIAL GROUP,229
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,711919.0,908669.0,1159840.0,1917339.0,2129843.0,SHIZUOKA FINANCIAL GROUP,230
信託財産額,Trust Assets,Million Yen,802.0,931.0,916.0,889.0,894.0,SHIZUOKA FINANCIAL GROUP,231
