description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,4777018.0,4804428.0,4591873.0,3902307.0,4111127.0,SUMITOMO MITSUI FINANCIAL,255
連結経常利益,Consolidated Ordinary Profit,Million Yen,1164113.0,1135300.0,932064.0,711018.0,1040621.0,SUMITOMO MITSUI FINANCIAL,256
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,734368.0,726681.0,703883.0,512812.0,706631.0,SUMITOMO MITSUI FINANCIAL,257
連結包括利益,Consolidated Comprehensive Income,Million Yen,984133.0,795191.0,372971.0,1465014.0,561887.0,SUMITOMO MITSUI FINANCIAL,258
連結純資産額,Consolidated Net Assets,Million Yen,11612892.0,11451611.0,10784903.0,11899046.0,12197331.0,SUMITOMO MITSUI FINANCIAL,259
連結総資産額,Consolidated Total Assets,Million Yen,199049128.0,203659146.0,219863518.0,242584308.0,257704625.0,SUMITOMO MITSUI FINANCIAL,260
１株当たり純資産額,Net Assets per Share,Yen,7366.21,7715.91,7827.5,8629.73,8825.53,SUMITOMO MITSUI FINANCIAL,261
１株当たり当期純利益,Net Income per Share,Yen,520.67,519.95,511.87,374.26,515.51,SUMITOMO MITSUI FINANCIAL,262
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,520.27,519.59,511.57,374.08,515.3,SUMITOMO MITSUI FINANCIAL,263
連結自己資本比率,Consolidated Equity Ratio,%,5.22,5.29,4.88,4.88,4.69,SUMITOMO MITSUI FINANCIAL,264
連結自己資本利益率,Return on Equity (ROE),%,7.3,6.87,6.55,4.56,5.91,SUMITOMO MITSUI FINANCIAL,265
連結株価収益率,Price-Earnings Ratio (PER),Times,8.56,7.45,5.12,10.71,7.58,SUMITOMO MITSUI FINANCIAL,266
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,9342794.0,4596242.0,7087460.0,18795951.0,1545423.0,SUMITOMO MITSUI FINANCIAL,267
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,-3395299.0,1006260.0,-3011660.0,-7679878.0,-2406810.0,SUMITOMO MITSUI FINANCIAL,268
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-350468.0,-632819.0,-1024554.0,-562580.0,-485338.0,SUMITOMO MITSUI FINANCIAL,269
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,47983114.0,53120963.0,56097807.0,66811212.0,65832072.0,SUMITOMO MITSUI FINANCIAL,270
