description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,1350946.0,1467916.0,1535401.0,1380434.0,1401091.0,SUMITOMO MITSUI TRUST,287
うち連結信託報酬,Consolidated Trust Fees,Million Yen,100591.0,103911.0,99816.0,102883.0,110539.0,SUMITOMO MITSUI TRUST,288
連結経常利益,Consolidated Ordinary Profit,Million Yen,232661.0,256411.0,257658.0,183155.0,229704.0,SUMITOMO MITSUI TRUST,289
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,153986.0,173889.0,163028.0,142196.0,169078.0,SUMITOMO MITSUI TRUST,290
連結包括利益,Consolidated Comprehensive Income,Million Yen,231696.0,93925.0,-23974.0,201137.0,90859.0,SUMITOMO MITSUI TRUST,291
連結純資産額,Consolidated Net Assets,Million Yen,2872325.0,2730356.0,2590907.0,2722556.0,2745288.0,SUMITOMO MITSUI TRUST,292
連結総資産額,Consolidated Total Assets,Million Yen,68356798.0,57029113.0,56500552.0,63368573.0,64633220.0,SUMITOMO MITSUI TRUST,293
１株当たり純資産額,Net Assets per Share,Yen,6897.36,7008.67,6822.48,7192.07,7249.7,SUMITOMO MITSUI TRUST,294
１株当たり当期純利益,Net Income per Share,Yen,403.91,458.91,434.31,379.65,451.4,SUMITOMO MITSUI TRUST,295
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,403.75,458.64,434.03,379.41,451.12,SUMITOMO MITSUI TRUST,296
自己資本比率,Equity Ratio,%,3.83,4.65,4.52,4.25,4.2,SUMITOMO MITSUI TRUST,297
連結自己資本利益率,Return on Equity (ROE),%,6.05,6.58,6.25,5.41,6.25,SUMITOMO MITSUI TRUST,298
連結株価収益率,Price-Earnings Ratio (PER),Times,10.66,8.66,7.19,10.16,8.86,SUMITOMO MITSUI TRUST,299
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,2840458.0,374318.0,-2395306.0,6553089.0,-120263.0,SUMITOMO MITSUI TRUST,300
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,-745854.0,-225399.0,-631459.0,-475494.0,-879205.0,SUMITOMO MITSUI TRUST,301
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-76869.0,-136766.0,-85323.0,-219723.0,-125079.0,SUMITOMO MITSUI TRUST,302
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,26540249.0,14079768.0,10960024.0,16799146.0,15733650.0,SUMITOMO MITSUI TRUST,303
信託財産額,Trust Assets,Million Yen,201698118.0,211350067.0,224425327.0,239846590.0,248215419.0,SUMITOMO MITSUI TRUST,304
