description,english_description,unit,2018 FY,2019 FY,2020 FY,2021 FY,2022 FY,company_name,id
連結経常収益,Consolidated Ordinary Income,Million Yen,234096.0,238616.0,242982.0,232940.0,236092.0,THE CHIBA BANK,19
うち連結信託報酬,Consolidated Trust Fees,Million Yen,16.0,23.0,8.0,23.0,115.0,THE CHIBA BANK,20
連結経常利益,Consolidated Ordinary Profit,Million Yen,78484.0,72467.0,72617.0,71819.0,78827.0,THE CHIBA BANK,21
親会社株主に帰属する当期純利益,Net Income Attributable to Parent Company Shareholders,Million Yen,53796.0,50478.0,48037.0,49641.0,54498.0,THE CHIBA BANK,22
連結包括利益,Consolidated Comprehensive Income,Million Yen,68479.0,35933.0,-1064.0,126364.0,39127.0,THE CHIBA BANK,23
連結純資産額,Consolidated Net Assets,Million Yen,943236.0,952267.0,929334.0,1041756.0,1059091.0,THE CHIBA BANK,24
連結総資産額,Consolidated Total Assets,Million Yen,14381815.0,14964129.0,15609936.0,17898168.0,19104764.0,THE CHIBA BANK,25
１株当たり純資産額,Net Assets per Share,Yen,1207.15,1250.05,1250.41,1401.4,1436.74,THE CHIBA BANK,26
１株当たり当期純利益,Net Income per Share,Yen,67.98,65.3,63.99,66.82,73.47,THE CHIBA BANK,27
潜在株式調整後１株当たり当期純利益,Diluted Net Income per Share,Yen,67.91,65.23,63.91,66.71,73.45,THE CHIBA BANK,28
自己資本比率,Equity Ratio,%,6.55,6.36,5.95,5.81,5.54,THE CHIBA BANK,29
連結自己資本利益率,Return on Equity (ROE),%,5.83,5.32,5.1,5.03,5.19,THE CHIBA BANK,30
連結株価収益率,Price-Earnings Ratio (PER),Times,12.57,9.2,7.39,10.85,9.86,THE CHIBA BANK,31
営業活動によるキャッシュ・フロー,Cash Flows from Operating Activities,Million Yen,-100848.0,251619.0,20951.0,1913821.0,710040.0,THE CHIBA BANK,32
投資活動によるキャッシュ・フロー,Cash Flows from Investing Activities,Million Yen,210197.0,60524.0,-102947.0,-182832.0,-81370.0,THE CHIBA BANK,33
財務活動によるキャッシュ・フロー,Cash Flows from Financing Activities,Million Yen,-25957.0,-27061.0,-22034.0,-14115.0,-41367.0,THE CHIBA BANK,34
現金及び現金同等物の期末残高,Cash and Cash Equivalents at End of Period,Million Yen,1697707.0,1982786.0,1878861.0,3595634.0,4183054.0,THE CHIBA BANK,35
信託財産額,Trust Assets,Million Yen,1180.0,2578.0,2964.0,3898.0,9044.0,THE CHIBA BANK,36
